delivery_id,po_id,supplier_id,product_id,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,on_time,quality_pass,defects_count,phase,notes
DLV-0001,PO-0001,S13,P01,2026-01-20,2026-01-20,300,300,true,true,0,historical,
DLV-0002,PO-0002,S10,P01,2026-02-24,2026-02-24,300,300,true,true,0,historical,
DLV-0003,PO-0003,S11,P02,2026-01-21,2026-01-22,300,300,false,true,0,historical,
DLV-0004,PO-0004,S02,P02,2026-02-28,2026-02-28,250,250,true,true,0,historical,
DLV-0005,PO-0005,S10,P03,2026-01-19,2026-01-19,450,450,true,true,0,historical,
DLV-0006,PO-0006,S13,P03,2026-02-16,2026-02-16,450,450,true,true,0,historical,
DLV-0007,PO-0007,S15,P04,2026-01-25,2026-01-25,50,50,true,true,0,historical,
DLV-0008,PO-0008,S12,P04,2026-03-01,2026-03-01,300,300,true,true,0,historical,
DLV-0009,PO-0009,S07,P05,2026-02-06,2026-02-06,200,200,true,true,0,historical,
DLV-0010,PO-0010,S12,P06,2026-02-02,2026-02-02,300,300,true,true,0,historical,
DLV-0011,PO-0011,S07,P07,2026-02-01,2026-02-01,1000,1000,true,true,0,historical,
DLV-0012,PO-0012,S05,P08,2026-01-25,2026-01-25,125,125,true,true,0,historical,
DLV-0013,PO-0013,S07,P08,2026-03-07,2026-03-08,200,195,false,true,5,simulation,5 defects in batch (accepted)
DLV-0014,PO-0014,S06,P09,2026-01-21,2026-01-21,800,800,true,true,0,historical,
DLV-0015,PO-0015,S14,P09,2026-02-25,2026-02-25,800,800,true,true,0,historical,
DLV-0016,PO-0016,S15,P10,2026-01-27,2026-01-27,900,900,true,true,0,historical,
DLV-0017,PO-0017,S07,P10,2026-03-07,2026-03-07,1000,1000,true,true,0,simulation,
DLV-0018,PO-0018,S07,P11,2026-02-05,2026-02-05,1000,1000,true,true,0,historical,
DLV-0019,PO-0019,S05,P12,2026-01-28,2026-01-28,1000,1000,true,true,0,historical,
DLV-0020,PO-0020,S14,P12,2026-02-24,2026-02-24,1000,1000,true,true,0,historical,
DLV-0021,PO-0021,S14,P13,2026-01-23,2026-01-23,500,500,true,true,0,historical,
DLV-0022,PO-0022,S10,P13,2026-02-19,2026-02-19,500,500,true,true,0,historical,
DLV-0023,PO-0023,S03,P14,2026-01-28,2026-01-28,250,250,true,true,0,historical,
DLV-0024,PO-0024,S11,P15,2026-01-18,2026-01-18,60,60,true,true,0,historical,
DLV-0025,PO-0025,S03,P15,2026-02-27,2026-02-28,100,100,false,true,0,historical,
DLV-0026,PO-0026,S15,P16,2026-01-26,2026-01-26,100,100,true,true,0,historical,
DLV-0027,PO-0027,S10,P16,2026-02-24,2026-02-24,100,100,true,true,0,historical,
DLV-0028,PO-0028,S10,P17,2026-01-23,2026-01-23,50,50,true,true,0,historical,
DLV-0029,PO-0029,S09,P17,2026-02-14,2026-02-14,50,50,true,true,0,historical,
DLV-0030,PO-0030,S03,P18,2026-01-26,2026-01-26,500,500,true,true,0,historical,
DLV-0031,PO-0031,S14,P19,2026-01-23,2026-01-23,50,50,true,true,0,historical,
DLV-0032,PO-0032,S15,P19,2026-02-20,2026-02-20,50,50,true,true,0,historical,
DLV-0033,PO-0033,S07,P20,2026-02-03,2026-02-03,200,200,true,true,0,historical,
DLV-0034,PO-0034,S02,P21,2026-01-19,2026-01-19,125,125,true,true,0,historical,
DLV-0035,PO-0035,S13,P21,2026-02-18,2026-02-18,125,125,true,true,0,historical,
DLV-0036,PO-0036,S10,P22,2026-01-21,2026-01-23,175,170,false,true,5,historical,5 defects in batch (accepted)
DLV-0037,PO-0037,S02,P22,2026-02-17,2026-02-17,175,175,true,true,0,historical,
DLV-0038,PO-0038,S11,P23,2026-01-17,2026-01-17,150,150,true,true,0,historical,
DLV-0039,PO-0039,S09,P23,2026-02-18,2026-02-18,150,150,true,true,0,historical,
DLV-0040,PO-0040,S07,P24,2026-02-03,2026-02-03,500,500,true,true,0,historical,
DLV-0041,PO-0041,S11,P25,2026-01-18,2026-01-20,600,600,false,true,0,historical,
DLV-0042,PO-0042,S07,P25,2026-03-04,2026-03-04,1000,1000,true,true,0,simulation,
DLV-0043,PO-0043,S01,P10,2026-03-16,2026-03-17,500,500,false,true,0,simulation,1 day late (scenario 3.1)
DLV-0044,PO-0044,S08,P02,2026-03-20,2026-03-20,100,95,true,true,0,simulation,received 95/100 units (scenario 3.2)
DLV-0045,PO-0045,S13,P01,2026-03-16,2026-03-16,300,300,true,true,0,simulation,
DLV-0046,PO-0046,S05,P03,2026-03-28,2026-03-28,450,450,true,true,0,simulation,
DLV-0047,PO-0047,S04,P05,2026-03-21,2026-03-21,100,100,true,true,0,simulation,
DLV-0048,PO-0048,S01,P14,2026-03-25,2026-03-25,125,125,true,true,0,simulation,
DLV-0049,PO-0049,S11,P18,2026-03-22,2026-03-22,300,300,true,true,0,simulation,
DLV-0050,PO-0050,S13,P03,2026-03-25,2026-03-25,100,100,true,true,0,simulation,urgent emergency delivery (scenario 2.1)
DLV-0051,PO-0051,S11,P13,2026-03-24,2026-03-24,500,500,true,true,0,simulation,
DLV-0052,PO-0052,S10,P24,2026-03-29,2026-03-29,350,350,true,true,0,simulation,
DLV-0053,PO-0053,S05,P12,2026-04-01,2026-04-01,1000,1000,true,true,0,simulation,
DLV-0054,PO-0054,S02,P22,2026-03-27,2026-03-27,175,175,true,true,0,simulation,
DLV-0055,PO-0055,S02,P11,2026-03-27,2026-03-27,800,800,true,true,0,simulation,
DLV-0056,PO-0056,S15,P21,2026-04-01,2026-04-01,125,125,true,true,0,simulation,
DLV-0057,PO-0057,S04,P23,2026-03-27,2026-03-30,150,150,false,true,0,simulation,
DLV-0058,PO-0058,S07,P12,2026-04-16,2026-04-16,1000,600,true,true,0,simulation,"partial: 600 now, 400 in 5 days (scenario 4.3)"
DLV-0059,PO-0058,S07,P12,2026-04-16,2026-04-21,1000,400,false,true,0,simulation,remainder of partial delivery for PO-0058
DLV-0060,PO-0059,S15,P04,2026-04-06,2026-04-06,50,50,true,true,0,simulation,
DLV-0061,PO-0060,S10,P16,2026-04-02,2026-04-02,100,100,true,true,0,simulation,
DLV-0062,PO-0061,S10,P17,2026-04-04,2026-04-04,50,50,true,true,0,simulation,
DLV-0063,PO-0062,S15,P19,2026-04-07,2026-04-07,50,50,true,true,0,simulation,
DLV-0064,PO-0063,S13,P07,2026-04-01,2026-04-01,600,600,true,true,0,simulation,
DLV-0065,PO-0064,S02,P09,2026-04-01,2026-04-01,800,800,true,true,0,simulation,
DLV-0066,PO-0065,S15,P15,2026-04-07,2026-04-07,50,50,true,true,0,simulation,
DLV-0067,PO-0067,S04,P06,2026-04-07,2026-04-07,150,150,true,true,0,simulation,
DLV-0068,PO-0068,S02,P20,2026-04-08,2026-04-08,50,50,true,true,0,simulation,
DLV-0069,PO-0069,S07,P13,2026-04-26,2026-04-26,500,0,true,false,25,simulation,batch rejected: 25/500 defective = 5% (scenario 3.3)
DLV-0070,PO-0070,S03,P14,2026-04-24,2026-04-27,60,60,false,true,0,simulation,3 days late (scenario 5.3: override outcome)
DLV-0071,PO-0071,S04,P01,2026-04-17,2026-04-17,300,300,true,true,0,simulation,
DLV-0072,PO-0072,S13,P08,2026-04-17,2026-04-17,50,50,true,true,0,simulation,post-stockout emergency delivery (scenario 2.2)
DLV-0073,PO-0073,S04,P08,2026-04-20,2026-04-20,125,125,true,true,0,simulation,
DLV-0074,PO-0074,S08,P03,2026-04-27,2026-04-27,450,450,true,true,0,simulation,
DLV-0075,PO-0075,S03,P13,2026-04-30,2026-04-30,500,500,true,true,0,simulation,
DLV-0076,PO-0076,S02,P18,2026-04-21,2026-04-21,300,300,true,true,0,simulation,
DLV-0077,PO-0077,S05,P24,2026-05-01,2026-05-01,350,350,true,true,0,simulation,
DLV-0078,PO-0078,S13,P05,2026-04-23,2026-04-23,100,100,true,true,0,simulation,
DLV-0079,PO-0079,S10,P22,2026-04-27,2026-04-27,175,175,true,true,0,simulation,
DLV-0080,PO-0080,S02,P04,2026-04-25,2026-04-25,50,50,true,true,0,simulation,
DLV-0081,PO-0081,S09,P17,2026-04-26,2026-04-26,50,50,true,true,0,simulation,
DLV-0082,PO-0082,S14,P19,2026-04-29,2026-04-29,50,50,true,true,0,simulation,
DLV-0083,PO-0083,S02,P15,2026-04-25,2026-04-25,50,50,true,true,0,simulation,
DLV-0084,PO-0084,S15,P23,2026-05-01,2026-05-01,150,150,true,true,0,simulation,
DLV-0085,PO-0085,S11,P11,2026-04-27,2026-04-27,800,800,true,true,0,simulation,
DLV-0086,PO-0086,S13,P21,2026-04-27,2026-04-27,125,125,true,true,0,simulation,
DLV-0087,PO-0087,S15,P07,2026-05-08,2026-05-08,600,600,true,true,0,simulation,
DLV-0088,PO-0088,S11,P20,2026-05-02,2026-05-02,60,60,true,true,0,simulation,
DLV-0089,PO-0089,S05,P09,2026-05-09,2026-05-09,800,800,true,true,0,simulation,
DLV-0090,PO-0090,S07,P02,2026-05-18,2026-05-18,1000,1000,true,true,0,simulation,
DLV-0091,PO-0091,S14,P16,2026-05-09,2026-05-09,100,96,true,true,4,simulation,4 defects (accepted)
DLV-0092,PO-0092,S07,P06,2026-05-23,2026-05-23,500,500,true,true,0,simulation,
DLV-0093,PO-0093,S10,P14,2026-05-12,2026-05-12,125,125,true,true,0,simulation,
DLV-0094,PO-0094,S15,P10,2026-05-17,2026-05-17,900,900,true,true,0,simulation,
DLV-0095,PO-0095,S02,P25,2026-05-15,2026-05-15,600,600,true,true,0,simulation,
DLV-0096,PO-0096,S05,P01,2026-05-22,2026-05-24,300,300,false,true,0,simulation,
