invoice_id,invoice_number,po_id,supplier_id,invoice_date,amount,po_amount,matches_po,is_duplicate,payment_status,phase,anomaly_flag
INV-0001,INV-S13-0001,PO-0001,S13,2026-01-21,19.65,19.65,true,false,paid,historical,
INV-0002,INV-S10-0002,PO-0002,S10,2026-02-25,14.97,14.97,true,false,paid,historical,
INV-0003,INV-S11-0003,PO-0003,S11,2026-01-23,39.45,39.45,true,false,paid,historical,
INV-0004,INV-S02-0004,PO-0004,S02,2026-02-28,49.5,49.5,true,false,paid,historical,
INV-0005,INV-S10-0005,PO-0005,S10,2026-01-20,43.11,43.11,true,false,paid,historical,
INV-0006,INV-S13-0006,PO-0006,S13,2026-02-18,59.09,59.09,true,false,paid,historical,
INV-0007,INV-S15-0007,PO-0007,S15,2026-01-28,392.37,392.37,true,false,paid,historical,
INV-0008,INV-S12-0008,PO-0008,S12,2026-03-01,2136.66,2136.66,true,false,paid,historical,
INV-0009,INV-S07-0009,PO-0009,S07,2026-02-08,6002.62,6002.62,true,false,paid,historical,
INV-0010,INV-S12-0010,PO-0010,S12,2026-02-04,792.9,792.9,true,false,paid,historical,
INV-0011,INV-S07-0011,PO-0011,S07,2026-02-03,325.0,325.0,true,false,paid,historical,
INV-0012,INV-S05-0012,PO-0012,S05,2026-01-26,3272.46,3272.46,true,false,paid,historical,
INV-0013,INV-S07-0013,PO-0013,S07,2026-03-11,4422.3,4422.3,true,false,paid,simulation,
INV-0014,INV-S06-0014,PO-0014,S06,2026-01-21,56.4,56.4,true,false,paid,historical,
INV-0015,INV-S14-0015,PO-0015,S14,2026-02-25,63.6,63.6,true,false,paid,historical,
INV-0016,INV-S15-0016,PO-0016,S15,2026-01-30,45.54,45.54,true,false,paid,historical,
INV-0017,INV-S07-0017,PO-0017,S07,2026-03-08,41.6,41.6,true,false,paid,simulation,
INV-0018,INV-S07-0018,PO-0018,S07,2026-02-08,33.0,33.0,true,false,paid,historical,
INV-0019,INV-S05-0019,PO-0019,S05,2026-01-29,20.2,20.2,true,false,paid,historical,
INV-0020,INV-S14-0020,PO-0020,S14,2026-02-24,19.2,19.2,true,false,paid,historical,
INV-0021,INV-S14-0021,PO-0021,S14,2026-01-23,29.05,29.05,true,false,paid,historical,
INV-0022,INV-S10-0022,PO-0022,S10,2026-02-19,29.2,29.2,true,false,paid,historical,
INV-0023,INV-S03-0023,PO-0023,S03,2026-01-30,331.93,331.93,true,false,paid,historical,
INV-0024,INV-S11-0024,PO-0024,S11,2026-01-21,12924.82,12924.82,true,false,paid,historical,
INV-0025,INV-S03-0025,PO-0025,S03,2026-02-28,22049.78,22049.78,true,false,paid,historical,
INV-0026,INV-S15-0026,PO-0026,S15,2026-01-26,1221.08,1221.08,true,false,paid,historical,
INV-0027,INV-S10-0027,PO-0027,S10,2026-02-24,1251.48,1251.48,true,false,paid,historical,
INV-0028,INV-S10-0028,PO-0028,S10,2026-01-23,380.38,380.38,true,false,paid,historical,
INV-0029,INV-S09-0029,PO-0029,S09,2026-02-16,418.3,418.3,true,false,paid,historical,
INV-0030,INV-S03-0030,PO-0030,S03,2026-01-26,338.6,338.6,true,false,paid,historical,
INV-0031,INV-S14-0031,PO-0031,S14,2026-01-23,783.66,783.66,true,false,paid,historical,
INV-0032,INV-S15-0032,PO-0032,S15,2026-02-23,733.79,733.79,true,false,paid,historical,
INV-0033,INV-S07-0033,PO-0033,S07,2026-02-04,5711.06,5711.06,true,false,paid,historical,
INV-0034,INV-S02-0034,PO-0034,S02,2026-01-19,616.41,616.41,true,false,paid,historical,
INV-0035,INV-S13-0035,PO-0035,S13,2026-02-21,567.9,567.9,true,false,paid,historical,
INV-0036,INV-S10-0036,PO-0036,S10,2026-01-26,217.96,217.96,true,false,paid,historical,
INV-0037,INV-S02-0037,PO-0037,S02,2026-02-20,271.36,271.36,true,false,paid,historical,
INV-0038,INV-S11-0038,PO-0038,S11,2026-01-19,316.51,316.51,true,false,paid,historical,
INV-0039,INV-S09-0039,PO-0039,S09,2026-02-21,358.39,358.39,true,false,paid,historical,
INV-0040,INV-S07-0040,PO-0040,S07,2026-02-04,1897.55,1897.55,true,false,paid,historical,
INV-0041,INV-S11-0041,PO-0041,S11,2026-01-23,450.78,450.78,true,false,paid,historical,
INV-0042,INV-S07-0042,PO-0042,S07,2026-03-07,719.8,719.8,true,false,paid,simulation,
INV-0043,INV-S01-0043,PO-0043,S01,2026-03-18,25.55,25.55,true,false,paid,simulation,
INV-0044,INV-S08-0044,PO-0044,S08,2026-03-21,14.4,14.4,true,false,paid,simulation,
INV-0045,INV-S13-0045,PO-0045,S13,2026-03-18,19.65,19.65,true,false,paid,simulation,
INV-0046,INV-S05-0046,PO-0046,S05,2026-03-30,46.12,46.12,true,false,paid,simulation,
INV-0047,INV-S04-0047,PO-0047,S04,2026-03-22,3503.33,3503.33,true,false,paid,simulation,
INV-0048,INV-S01-0048,PO-0048,S01,2026-03-26,192.35,192.35,true,false,paid,simulation,
INV-0049,INV-S11-0049,PO-0049,S11,2026-03-22,205.23,205.23,true,false,paid,simulation,
INV-0050,INV-S13-0050,PO-0050,S13,2026-03-26,13.13,13.13,true,false,paid,simulation,
INV-0051,INV-S11-0051,PO-0051,S11,2026-03-27,26.35,26.35,true,false,paid,simulation,
INV-0052,INV-S10-0052,PO-0052,S10,2026-03-31,1627.57,1627.57,true,false,paid,simulation,
INV-0053,INV-S05-0053,PO-0053,S05,2026-04-02,20.2,20.2,true,false,paid,simulation,
INV-0054,INV-S02-0054,PO-0054,S02,2026-03-28,271.36,271.36,true,false,paid,simulation,
INV-0055,INV-S02-0055,PO-0055,S02,2026-03-29,44.88,44.88,true,false,paid,simulation,
INV-0056,INV-S15-0056,PO-0056,S15,2026-04-03,419.71,419.71,true,false,paid,simulation,
INV-0057,INV-S04-0057,PO-0057,S04,2026-03-30,388.53,388.53,true,false,paid,simulation,
INV-0058,INV-S04-0058,PO-0057,S04,2026-03-26,518.04,388.53,false,false,held,simulation,invoice amount exceeds PO by 50 units (scenario 4.1)
INV-0059,INV-S07-0059,PO-0058,S07,2026-04-17,17.4,17.4,true,false,paid,simulation,
INV-0060,INV-S15-0060,PO-0059,S15,2026-04-07,392.37,392.37,true,false,paid,simulation,
INV-0061,INV-S10-0061,PO-0060,S10,2026-04-02,1251.48,1251.48,true,false,paid,simulation,
INV-0062,INV-S10-0062,PO-0061,S10,2026-04-05,380.38,380.38,true,false,paid,simulation,
INV-0063,INV-S15-0063,PO-0062,S15,2026-04-07,733.79,733.79,true,false,paid,simulation,
INV-0064,INV-S13-0064,PO-0063,S13,2026-04-01,319.2,319.2,true,false,paid,simulation,
INV-0065,INV-S02-0065,PO-0064,S02,2026-04-01,82.8,82.8,true,false,paid,simulation,
INV-0066,INV-S15-0066,PO-0065,S15,2026-04-08,12456.23,12456.23,true,false,paid,simulation,
INV-0067,INV-S04-0067,PO-0057,S04,2026-04-02,388.53,388.53,true,true,held,simulation,duplicate of prior invoice (scenario 4.2)
INV-0068,INV-S04-0068,PO-0067,S04,2026-04-10,461.51,461.51,true,false,paid,simulation,
INV-0069,INV-S02-0069,PO-0068,S02,2026-04-11,2402.7,2402.7,true,false,paid,simulation,
INV-0070,INV-S07-0070,PO-0069,S07,2026-04-27,25.7,25.7,true,false,held,simulation,"rejected shipment, payment held (scenario 3.3)"
INV-0071,INV-S03-0071,PO-0070,S03,2026-04-26,79.66,79.66,true,false,paid,simulation,
INV-0072,INV-S04-0072,PO-0071,S04,2026-04-17,15.09,15.09,true,false,paid,simulation,
INV-0073,INV-S13-0073,PO-0072,S13,2026-04-18,1670.57,1670.57,true,false,paid,simulation,
INV-0074,INV-S04-0074,PO-0073,S04,2026-04-21,3216.28,3216.28,true,false,paid,simulation,
INV-0075,INV-S08-0075,PO-0074,S08,2026-04-30,47.25,47.25,true,false,paid,simulation,
INV-0076,INV-S03-0076,PO-0075,S03,2026-05-03,24.9,24.9,true,false,paid,simulation,
INV-0077,INV-S02-0077,PO-0076,S02,2026-04-22,334.83,334.83,true,false,paid,simulation,
INV-0078,INV-S05-0078,PO-0077,S05,2026-05-03,1600.17,1600.17,true,false,paid,simulation,
INV-0079,INV-S13-0079,PO-0078,S13,2026-04-25,4620.39,4620.39,true,false,paid,simulation,
INV-0080,INV-S10-0080,PO-0079,S10,2026-04-30,217.96,217.96,true,false,paid,simulation,
INV-0081,INV-S02-0081,PO-0080,S02,2026-04-27,518.52,518.52,true,false,paid,simulation,
INV-0082,INV-S09-0082,PO-0081,S09,2026-04-26,418.3,418.3,true,false,paid,simulation,
INV-0083,INV-S14-0083,PO-0082,S14,2026-04-29,783.66,783.66,true,false,paid,simulation,
INV-0084,INV-S02-0084,PO-0083,S02,2026-04-25,17693.81,17693.81,true,false,paid,simulation,
INV-0085,INV-S15-0085,PO-0084,S15,2026-05-01,386.49,386.49,true,false,paid,simulation,
INV-0086,INV-S11-0086,PO-0085,S11,2026-04-30,27.2,27.2,true,false,paid,simulation,
INV-0087,INV-S13-0087,PO-0086,S13,2026-04-30,567.9,567.9,true,false,paid,simulation,
INV-0088,INV-S15-0088,PO-0087,S15,2026-05-10,232.62,232.62,true,false,paid,simulation,
INV-0089,INV-S11-0089,PO-0088,S11,2026-05-05,1857.1,1857.1,true,false,paid,simulation,
INV-0090,INV-S05-0090,PO-0089,S05,2026-05-09,64.08,64.08,true,false,paid,simulation,
INV-0091,INV-S07-0091,PO-0090,S07,2026-05-21,122.7,122.7,true,false,paid,simulation,
INV-0092,INV-S14-0092,PO-0091,S14,2026-05-12,1222.42,1222.42,true,false,paid,simulation,
INV-0093,INV-S07-0093,PO-0092,S07,2026-05-26,1220.3,1220.3,true,false,paid,simulation,
INV-0094,INV-S10-0094,PO-0093,S10,2026-05-13,180.58,180.58,true,false,paid,simulation,
INV-0095,INV-S15-0095,PO-0094,S15,2026-05-17,45.54,45.54,true,false,paid,simulation,
INV-0096,INV-S02-0096,PO-0095,S02,2026-05-16,680.22,680.22,true,false,paid,simulation,
INV-0097,INV-S05-0097,PO-0096,S05,2026-05-24,15.27,15.27,true,false,paid,simulation,
INV-0098,INV-S08-0098,PO-0097,S08,2026-05-28,418.76,418.76,true,false,paid,simulation,
INV-0099,INV-S15-0099,PO-0098,S15,2026-05-30,3262.61,3262.61,true,false,paid,simulation,
INV-0100,INV-S14-0100,PO-0099,S14,2026-05-24,29.05,29.05,true,false,paid,simulation,
INV-0101,INV-S05-0101,PO-0100,S05,2026-05-28,384.47,384.47,true,false,paid,simulation,
