supplier_id,product_id,unit_price,supplier_lead_time_days,supplier_moq
S01,P01,0.0507,5,100
S01,P02,0.1536,5,100
S01,P03,0.0972,7,100
S01,P04,7.682,7,50
S01,P05,36.3726,5,20
S01,P06,3.0271,5,50
S01,P07,0.3812,5,100
S01,P08,24.3317,7,20
S01,P09,0.0762,5,100
S01,P10,0.0511,7,100
S01,P11,0.0402,5,100
S01,P12,0.0199,6,100
S01,P13,0.0619,5,100
S01,P14,1.5388,5,50
S02,P01,0.0688,2,20
S02,P02,0.198,1,20
S02,P03,0.1412,2,20
S02,P04,10.3704,2,10
S02,P05,45.3445,2,4
S02,P06,4.092,1,10
S02,P07,0.5524,3,20
S02,P08,32.4838,2,4
S02,P09,0.1035,2,20
S02,P10,0.0697,3,20
S02,P11,0.0561,2,20
S02,P12,0.0272,3,20
S02,P13,0.0775,3,20
S02,P14,1.9699,2,10
S02,P15,353.8762,1,4
S02,P16,16.7937,2,10
S02,P17,10.5602,3,10
S02,P18,1.1161,1,20
S02,P19,19.9871,1,10
S02,P20,48.0541,3,4
S02,P21,4.9313,3,10
S02,P22,1.5506,3,10
S02,P23,3.264,3,10
S02,P24,5.92,2,10
S02,P25,1.1337,3,20
S03,P09,0.0693,10,500
S03,P10,0.0433,10,500
S03,P11,0.0331,10,500
S03,P12,0.0175,11,500
S03,P13,0.0498,10,500
S03,P14,1.3277,12,250
S03,P15,220.4978,11,100
S03,P16,9.9069,11,250
S03,P17,6.729,12,250
S03,P18,0.6772,11,500
S03,P19,12.2905,12,250
S04,P01,0.0503,3,50
S04,P02,0.1537,3,50
S04,P03,0.104,3,50
S04,P04,7.8896,2,25
S04,P05,35.0333,2,10
S04,P06,3.0767,2,25
S04,P07,0.3861,2,50
S04,P08,25.7302,3,10
S04,P20,35.3374,3,10
S04,P21,3.4586,3,25
S04,P22,1.2035,4,25
S04,P23,2.5902,2,25
S05,P01,0.0509,8,30
S05,P02,0.1527,10,30
S05,P03,0.1025,10,30
S05,P04,7.8721,9,15
S05,P05,34.7717,9,6
S05,P06,2.851,10,15
S05,P07,0.415,9,30
S05,P08,26.1797,8,6
S05,P09,0.0801,8,30
S05,P10,0.0519,9,30
S05,P11,0.0414,10,30
S05,P12,0.0202,8,30
S05,P13,0.0592,8,30
S05,P14,1.5059,10,15
S05,P15,260.4623,10,6
S05,P16,11.789,8,15
S05,P17,7.6895,9,15
S05,P18,0.8303,9,30
S05,P19,14.6092,8,15
S05,P20,36.323,8,6
S05,P21,3.355,9,15
